Date,portfolio_top10,portfolio_top20,portfolio_top30,benchmark,allocation,regime
2010-02-28,0.444255,0.379386,0.269461,-0.228851,1.000000,risk_on
2010-03-31,1.677303,2.030584,1.963811,3.821757,1.000000,risk_on
2010-04-30,0.839722,0.912728,0.978030,1.818619,1.000000,risk_on
2010-05-31,-0.817609,-0.760905,-1.052896,-4.431135,1.000000,risk_on
2010-06-30,0.351901,0.274288,0.213287,-0.413859,0.660000,neutral
2010-07-31,0.530235,0.616057,0.737929,2.435817,0.660000,neutral
2010-08-31,0.179988,0.150989,0.124924,-1.275097,0.660000,neutral
2010-09-30,0.505674,0.633724,0.665671,2.451980,0.660000,neutral
2010-10-31,0.300630,0.338757,0.371063,2.526238,0.660000,neutral
2010-11-30,0.001809,0.021738,0.012473,-0.061312,1.000000,risk_on
2010-12-31,0.521134,0.658745,0.830441,3.076870,1.000000,risk_on
2011-01-31,0.537303,0.641821,0.726961,1.949933,1.000000,risk_on
2011-02-28,0.604025,0.616197,0.673847,1.529308,1.000000,risk_on
2011-03-31,0.304043,0.342435,0.386534,0.456765,1.000000,risk_on
2011-04-30,0.423813,0.431087,0.457814,0.422364,1.000000,risk_on
2011-05-31,0.364631,0.361457,0.275402,-0.822063,1.000000,risk_on
2011-06-30,0.098651,-0.084717,-0.108881,-0.784407,1.000000,risk_on
2011-07-31,0.400147,0.473710,0.372827,-0.441557,1.000000,risk_on
2011-08-31,-0.875751,-0.936670,-0.958555,-6.107860,0.660000,neutral
2011-09-30,-0.958253,-0.846046,-0.901101,-3.550793,0.660000,neutral
2011-10-31,1.127676,1.061995,1.014845,5.614573,0.330000,risk_off
2011-11-30,-0.264058,-0.183579,-0.136768,-2.121368,0.660000,neutral
2011-12-31,0.621554,0.549963,0.571251,1.495553,0.660000,neutral
2012-01-31,0.536063,0.537139,0.605617,2.778061,0.660000,neutral
2012-02-29,0.384516,0.405941,0.463486,2.910826,0.660000,neutral
2012-03-31,0.225793,0.241507,0.239581,0.759162,0.660000,neutral
2012-04-30,0.549336,0.549712,0.553363,-0.115612,1.000000,risk_on
2012-05-31,0.126352,0.064607,0.009372,-1.958747,0.660000,neutral
2012-06-30,0.405878,0.425078,0.434044,1.896312,0.660000,neutral
2012-07-31,0.313977,0.339403,0.343360,1.133477,0.660000,neutral
2012-08-31,0.332465,0.312584,0.318366,1.378809,0.660000,neutral
2012-09-30,0.289236,0.303241,0.303293,1.690698,0.660000,neutral
2012-10-31,0.234745,0.232689,0.244291,0.961841,0.660000,neutral
2012-11-30,0.261037,0.270116,0.267886,0.233621,0.660000,neutral
2012-12-31,0.298087,0.292803,0.300909,1.882832,0.660000,neutral
2013-01-31,0.285272,0.276291,0.276904,2.168088,0.660000,neutral
2013-02-28,0.312901,0.337809,0.324850,0.098322,0.660000,neutral
2013-03-31,0.271865,0.290216,0.294658,0.979102,0.660000,neutral
2013-04-30,0.301338,0.317649,0.323753,1.259552,0.660000,neutral
2013-05-31,0.142413,0.106268,0.083240,0.958460,0.660000,neutral
2013-06-30,0.032953,-0.020046,-0.095669,-1.649191,0.660000,neutral
2013-07-31,0.702868,0.803523,0.821200,1.736378,1.000000,risk_on
2013-08-31,0.403343,0.374153,0.373513,0.010030,1.000000,risk_on
2013-09-30,0.422115,0.401294,0.408672,0.134495,1.000000,risk_on
2013-10-31,0.470670,0.485627,0.535663,1.978459,1.000000,risk_on
2013-11-30,0.418134,0.406184,0.413046,0.827888,1.000000,risk_on
2013-12-31,0.403983,0.389329,0.396546,1.435344,1.000000,risk_on
2014-01-31,0.345845,0.280546,0.237584,-0.292669,1.000000,risk_on
2014-02-28,0.508526,0.519510,0.544064,1.629539,1.000000,risk_on
2014-03-31,0.381308,0.356397,0.351834,0.785662,1.000000,risk_on
2014-04-30,0.423414,0.395185,0.376375,0.260082,1.000000,risk_on
2014-05-31,0.398219,0.353466,0.335993,0.135712,1.000000,risk_on
2014-06-30,0.370441,0.356479,0.362801,0.988792,1.000000,risk_on
2014-07-31,-0.075844,-0.155674,-0.199106,-0.821512,1.000000,risk_on
2014-08-31,0.287316,0.310817,0.323361,0.498561,0.660000,neutral
2014-09-30,-0.106664,-0.199737,-0.277680,-1.548427,1.000000,risk_on
2014-10-31,-0.037446,0.046475,0.017670,-0.117736,0.660000,neutral
2014-11-30,0.242226,0.181059,0.122115,-1.335275,0.660000,neutral
2014-12-31,-0.001503,-0.018713,-0.091444,-1.777699,0.660000,neutral
2015-01-31,-0.174368,-0.008200,-0.043203,-1.593483,0.330000,risk_off
2015-02-28,0.462279,0.299811,0.325186,3.739868,0.330000,risk_off
2015-03-31,0.185035,0.150560,0.119747,-1.099409,0.660000,neutral
2015-04-30,0.260375,0.276420,0.302397,1.667896,0.660000,neutral
2015-05-31,0.248438,0.228397,0.230754,0.335513,0.660000,neutral
2015-06-30,0.059555,0.018510,0.007140,-0.943964,0.660000,neutral
2015-07-31,0.110405,0.021329,-0.020928,-1.729633,0.660000,neutral
2015-08-31,-0.031576,-0.102579,-0.156685,-2.141492,0.660000,neutral
2015-09-30,-0.162535,-0.213576,-0.173051,-3.209774,0.330000,risk_off
2015-10-31,0.132357,0.276985,0.267888,2.553452,0.330000,risk_off
2015-11-30,-1.828991,-0.065345,-0.071366,-2.108736,0.330000,risk_off
2015-12-31,-2.104002,-0.599463,-0.289118,-3.318349,0.330000,risk_off
2016-01-31,-2.249817,-0.799114,-0.559629,-4.408952,0.330000,risk_off
2016-02-29,-2.329722,-0.441659,-0.038336,-1.083872,0.330000,risk_off
2016-03-31,6.258587,2.060106,1.166142,7.036097,0.330000,risk_off
2016-04-30,2.784630,0.895754,0.945868,5.272456,0.330000,risk_off
2016-05-31,1.932485,0.457551,0.190488,1.280357,0.330000,risk_off
2016-06-30,0.271192,0.110821,0.094413,-0.177241,0.330000,risk_off
2016-07-31,0.299724,0.317770,0.304160,2.726886,0.330000,risk_off
2016-08-31,0.143436,0.152581,0.169471,2.739863,0.330000,risk_off
2016-09-30,0.113633,0.109738,0.114870,0.741441,0.330000,risk_off
2016-10-31,0.081514,0.085789,0.097260,1.463251,0.330000,risk_off
2016-11-30,0.056897,0.070876,0.063977,1.334606,0.330000,risk_off
2016-12-31,0.775242,0.313565,0.353112,1.934990,0.660000,neutral
2017-01-31,0.574368,0.472646,0.324221,1.549561,0.660000,neutral
2017-02-28,0.249402,0.258603,0.261651,1.038106,0.660000,neutral
2017-03-31,0.113463,0.094811,0.088576,-0.210836,0.660000,neutral
2017-04-30,0.254903,0.246175,0.253999,0.723683,0.660000,neutral
2017-05-31,0.145077,0.144094,0.164608,0.349398,0.660000,neutral
2017-06-30,0.119512,0.105638,0.094430,0.269357,0.660000,neutral
2017-07-31,0.233707,0.204306,0.187102,0.840290,0.660000,neutral
2017-08-31,0.052423,0.034808,0.018208,-0.721218,0.660000,neutral
2017-09-30,0.223475,0.216840,0.220409,1.704055,0.660000,neutral
2017-10-31,0.194452,0.150667,0.163084,0.727273,0.660000,neutral
2017-11-30,0.123573,0.031004,0.036118,0.135734,0.660000,neutral
2017-12-31,0.164200,0.145738,0.152000,0.258238,0.660000,neutral
2018-01-31,0.093675,0.124206,0.152866,1.746434,0.660000,neutral
2018-02-28,0.021661,0.022908,0.016834,-0.471380,0.330000,risk_off
2018-03-31,0.054731,0.023899,0.017821,-1.094522,0.330000,risk_off
2018-04-30,0.138341,0.113999,0.121190,1.128656,0.330000,risk_off
2018-05-31,0.068659,0.052912,0.036855,-0.613514,0.330000,risk_off
2018-06-30,0.091223,0.075860,0.073894,0.417203,0.330000,risk_off
2018-07-31,0.157439,0.143714,0.149150,1.109372,0.330000,risk_off
2018-08-31,0.072548,0.074421,0.069546,0.059087,0.330000,risk_off
2018-09-30,0.091296,0.081016,0.093283,1.040986,0.330000,risk_off
2018-10-31,-0.171903,-0.219664,-0.218906,-1.579020,0.660000,neutral
2018-11-30,-0.271694,-0.158066,-0.163832,-1.932128,0.330000,risk_off
2018-12-31,-0.587478,-0.493676,-0.464509,-3.859543,0.330000,risk_off
